clip,reference,kanji,kana,hybrid
BASIC5000_0001,mizuomareeshiakarakawanakutewanaranainodesu,mizuomareeshiakarakawanakutewanaranainodesu,mizuomareeshiakarakawanakutehanaranainodesu,mizuomareeshiakarakawanakutewanaranainodesu
BASIC5000_0002,mokuyoobiteesenkaidanwanannoshintenmonaimamashuuryooshimashita,mokuyoohiteesenkaidanwanannoshintenmonaimamashuuryooshimashita,mokuyoobiteesenkaidanhanannoshintemonaimamashuuryooshimashita,mokuyoohiteesenkaidanwanannoshintenmonaimamashuuryooshimashita
BASIC5000_0003,jooingiinwawatashigadeetaoyugametatokokuhatsushita,jooingiinwawatakushigadeetaoyugametatokokuhatsushita,hagadeetaoyugametatoshita,jooingiinwawatakushigadeetaoyugametatokokuhatsushita
BASIC5000_0004,isshuukanshitesononyuusuwahontooninatta,shuukanshitesononyuusuwahontooninatta,shitesononyuusuhaninatta,shuukanshitesononyuusuwahontooninatta
BASIC5000_0005,ketsuatsuwakenkoonoparomeetaatoshitejuuyoodearu,ketsuatsuwakenkoonoparomeetaatoshitejuuyoodearu,ketsuatsuhakenkoonoparomeetaatoshitejuuyoodearu,ketsuatsuwakenkoonoparomeetaatoshitejuuyoodearu
BASIC5000_0006,shuuniyonkaifuransunojugyoogaarimasu,shuunikaifuransunojugyoogaarimasu,nifuransunogaarimasu,shuunikaifuransunojugyoogaarimasu
BASIC5000_0007,kyokashoganakerebakokoewahairenai,kyokashoganakerebakokoewairenai,kyokashoganakerebakokohehahaerenai,kyokashoganakerebakokoewairenai
BASIC5000_0008,oogoedenakinagaraonnanokowahahaoyaosagashiteeta,oogoedenakinagaraonnanokowahahaoyaosagashiteeta,oogoedenakinagaraonnanokohahahaoyaosagashiteeta,oogoedenakinagaraonnanokowahahaoyaosagashiteeta
BASIC5000_0009,muzainohitobitowamochironhoomensareta,muzainohitobitowamochironhoomensareta,muzainohitobitohamochironhoomensareta,muzainohitobitowamochironhoomensareta
BASIC5000_0010,makkishikennisonaetehontoonikiaioiretebenkyooshinakya,makkishikennisonaetehontoonikiaioiretebenkyooshinakya,makishikennisunaetehontoonikiaioiretebenkyooshinakya,makkishikennisonaetehontoonikiaioiretebenkyooshinakya
BASIC5000_0011,kisogawawashibashibanihonnoraingawatoyobareteeru,kisokawawashibashibanipponnorainkawatoyobareteeru,kisogawahashibashibanihonnoraingawatoyobareteeru,kisokawawashibashibanihonnorainkawatoyobareteeru
BASIC5000_0012,oborekakatteetajookyakuwasubetekyuujosareta,oborekakatteetajookyakuwasubetekyuujosareta,oborekakatteetajookyakuhasubetekyuujosareta,oborekakatteetajookyakuwasubetekyuujosareta
BASIC5000_0013,chuushinbuniarunodeshootenyaofisuniikunonibenridesu,chuushinbuniarunodeshootenyaofisuniikunonibenridesu,chuushinbuniarunodeshootenyaofusuniikunonibenridesu,chuushinbuniarunodeshootenyaofisuniikunonibenridesu
BASIC5000_0014,zankokutoyuukotowakarenoseeshitsuniwanaikotoda,zankokutoiukotowakarenoseeshitsuniwanaikotoda,zankokutoiukotohakarenoseeshitsunihanaikotoda,zankokutoiukotowakarenoseeshitsuniwanaikotoda
BASIC5000_0015,teeennomawarinigururitotakaiheegatatteeru,teeennomawarinigururitotakaiheegatatteeru,teeennomawarinigururitotakaiheegatatteeru,teeennomawarinigururitotakaiheegatatteeru
BASIC5000_0016,shusseeritsutoshibooritsuwahobohitoshikatta,shusshooritsutoshibooritsuwahobohitoshikatta,shusseeritsutoshibooritsuhahobohitoshikatta,shusseeritsutoshibooritsuwahobohitoshikatta
BASIC5000_0017,zettainisonosuicchinisawattewaikenai,zettainisonosuicchinisawattewaikenai,zettainisonosuicchinisawattehaikenai,zettainisonosuicchinisawattewaikenai
BASIC5000_0018,heyaoderutokiniwaakariokeshinasai,heyaoderutokiniwaakariokishinasai,heyaoderutokinihaakariokishinasai,heyaoderutokiniwaakariokishinasai
BASIC5000_0019,shieekusupianosakuhinwatotemomuzukashikuteyomenai,shieekusupianosakuhinwatotemomuzukashikuteyomenai,shieekusupianohatotemoshikutemenai,shieekusupianosakuhinwatotemomuzukashikuteyomenai
BASIC5000_0020,mukashimukashihitorinoroojingasundeeta,mukashimukashihitorinoroojingasundeeta,mukashimukashihitorinoroojingasundeeta,mukashimukashihitorinoroojingasundeeta
BASIC5000_0021,hirooyaraueyaradekarewamemaiokanjita,hirooyaraueyaradekarewamemaiokanjita,hirooyaraueyaradekarehamemaiokanjita,hirooyaraueyaradekarewamemaiokanjita
BASIC5000_0022,mushirorongenohoogahageyasuittekiitazo,mushiroronmoonohoogahageyasuittekiitazo,mushirorongenohoogahageyasuittekiitazo,mushiroronmoonohoogahageyasuittekiitazo
BASIC5000_0023,mukoonitatteeruonnanokowameariidesu,mukoonitatteeruonnanokowameariidesu,mukoonitatteeruonnanokohameariidesu,mukoonitatteeruonnanokowameariidesu
BASIC5000_0024,shisuteenareehaidoowasenyonhyakunanajuusannennibachikankyuudennainikonryuusaretasoodainareehaidoodesu,reehaidoowanennikyuudennainikonryuusaretasoodainareehaidoodesu,shisutenahanibateekannisaretanadesu,reehaidoowanennikyuudennainikonryuusaretasoodainareehaidoodesu
BASIC5000_0025,tenisunimoarukedoyondaitaikaittenani,tenisunimoarukedoyondaitaikaittenan,tenisunimoarukedotte,tenisunimoarukedoyondaitaikaittenan
BASIC5000_0026,sakuryakuwaifukuohitsuyootosurugashinjitsuwahadakadearukotookonomu,sakuryakuwaifukuohitsuyootosurugashinjitsuwahadakadearukotookonomu,sakuryakuhaifukuohitsuyootosurugashinjitsuhahadakadearukotookonomu,sakuryakuwaifukuohitsuyootosurugashinjitsuwahadakadearukotookonomu
BASIC5000_0027,koikoohiiyoriusuikoohiinohoogasukidesu,koikoohiiyoriusuikoohiinohoogasukidesu,koikoohiiyoriusuikoohiinohoogasukidesu,koikoohiiyoriusuikoohiinohoogasukidesu
BASIC5000_0028,gaikookanniwasamazamanatokkengaataerareteeru,gaikookanniwasamazamanatokkengaataerareteeru,nihasamazamanagaerareteeru,gaikookanniwasamazamanatokkengaataerareteeru
BASIC5000_0029,sashikizuwatotemofukakukansennoosoreganaikakensasuruhitsuyoogaaru,sashikizuwatotemofukakukansennoosoreganaikakensasuruhitsuyoogaaru,sashikizuhatotemofukakukansennoosoreganaikakensasuruhitsuyoogaaru,sashikizuwatotemofukakukansennoosoreganaikakensasuruhitsuyoogaaru
BASIC5000_0030,gaijinganihonshokuninarerukotowamuzukashii,gaijinganipponshokuninarerukotowamuzukashii,ganinarerukotohashii,gaijinganipponshokuninarerukotowamuzukashii
BASIC5000_0031,gonofuruiimigagenzainokihontekinaimidearutowakagiranai,gonofuruiimigagenzainokihontekinaimidearutowakagiranai,konoiganonadearutoharanai,gonofuruiimigagenzainokihontekinaimidearutowakagiranai
BASIC5000_0032,hariganewadenkiotsutaerunonimochiirareru,hariganewadenkiotsutaerunonimochiirareru,hariganehadenkiotsutaerunonimochiirareru,hariganewadenkiotsutaerunonimochiirareru
BASIC5000_0033,raigetsunokabukizanodashimonowanandesuka,raigetsunokabukizanodashimonowanandesuka,nonoshihadesuka,raigetsunokabukizanodashimonowanandesuka
BASIC5000_0034,asshukushitafairuotenpudeokuttekudasai,asshukushitafairuotenpudeokuttekudasai,asshikushitafairuotenpudeokuttekudasai,asshukushitafairuotenpudeokuttekudasai
BASIC5000_0035,yooshitanreezunoomeesekiundooshinkeebatsuguniewakanemochidetsuidenigakuseekainofukukaichoooshitetarimosuruiwayurupaafekutonayatsuda,yooshitanreezunoomeesekiundooshinkeebatsuguniewakanemochidetsuidenigakuseekainofukukaichoooshitetarimosuruiwayurupaafekutonayatsuda,hachidetsuideninooshitetarimosuruiwayurupaafekutonayatsuda,yooshitanreezunoomeesekiundooshinkeebatsuguniewakanemochidetsuidenigakuseekainofukukaichoooshitetarimosuruiwayurupaafekutonayatsuda
BASIC5000_0036,nyuuinkanjawaishanimasuiochuushasaretesuguninemuriniochita,nyuuinkanjawaishanimasuiochuushasaretesuguninemuriniochita,nyuuinkanjahaishanimasuiochuushasaretesuguninemuriniochita,nyuuinkanjawaishanimasuiochuushasaretesuguninemuriniochita
BASIC5000_0037,hatamehachimokutoyuukotobagaaruyooniichidokyookaikarahanaretenihonsakkaaomiteetadakitai,hatameyatsumetoiukotobagaaruyooniichidokyookaikarahanaretenipponsakkaaomiteetadakitai,hatamehachimokutoiukotobagaaruyooniichidokyookaikarahanaretenihonsakkaomiteetadakitai,hatameyatsumetoiukotobagaaruyooniichidokyookaikarahanaretenihonsakkaaomiteetadakitai
BASIC5000_0038,gyooginowarusawakarenoryooshikiootagawaserumonoda,gyooginowarusawakarenoryooshikiootagawaserumonoda,gyooginowarusahakarenoryooshikiootagawaserumonoda,gyooginowarusawakarenoryooshikiootagawaserumonoda
BASIC5000_0039,buchoonotsugoogawarukunatteshimattanodenomikainonitteewashikirinaoshidane,buchoonotsugoogawarukunatteshimattanodenomikainonitteewashikirinaoshidane,buchoonotsugoogawarukunatteshimattanodenomikaenonitteehashikirinaoshidane,buchoonotsugoogawarukunatteshimattanodenomikainonitteewashikirinaoshidane
BASIC5000_0040,hebiomitatokikarewahimeeoageta,hebiomitatokikarewahimeeoageta,hebiomitatokikarehahimeeoageta,hebiomitatokikarewahimeeoageta
BASIC5000_0041,shigaisenwahifuganohikiokosukotogaaru,shigaisenwahifuganohikiokosukotogaaru,shigaisenhahifuganohikiokosukotogaaru,shigaisenwahifuganohikiokosukotogaaru
BASIC5000_0042,kigatsukutonigebawadokonimonakatta,kigatsukutonigebawadokonimonakatta,kigatsukutonigebahadokonimonakatta,kigatsukutonigebawadokonimonakatta
BASIC5000_0043,sanbanmenososhitemottomojuuyoonakangaewasainyuutoyuukotodearu,banmenososhitemottomojuuyoonakangaewasainyuutoiukotodearu,sanbanmenososhitemottomojuuyoonakangaehasainyuutoiukotodearu,banmenososhitemottomojuuyoonakangaewasainyuutoiukotodearu
BASIC5000_0044,kibooyayumenoomoiwazettainimitsukaranai,kibooyayumenoomoiwazettainimitsukaranai,kibooyayumenoomoihazettainimitsukaranai,kibooyayumenoomoiwazettainimitsukaranai
BASIC5000_0045,zenpooniaruanosaingayomemasuka,zenpooniaruanosaingayomemasuka,zenpooniaruanosaingayomemasuka,zenpooniaruanosaingayomemasuka
BASIC5000_0046,kimazuichinmokunoatobiruwakanojonoteototteuenokaiehippatteetta,kimazuichinmokunoatobiruwakanojonoteototteuenokizahashiehippatteetta,kimazuichinmokunoatobiruhakanujonoteototteuenokaihehippatteetta,kimazuichinmokunoatobiruwakanojonoteototteuenokizahashiehippatteetta
BASIC5000_0047,koozanroodooshagachinageoyookyuushitesutonitotsunyuushita,koozanroodooshagachinageoyookyuushitefutonitotsunyuushita,koozanroodooshagachinageoyookyuushitefutonitotsunyuushita,koozanroodooshagachinageoyookyuushitefutonitotsunyuushita
BASIC5000_0048,kinoyowaiotokogabijooetatameshiganai,kinoyowaiotokogabijooetatameshiganai,kinoyowaiotokogabijoooetatameshiganai,kinoyowaiotokogabijooetatameshiganai
BASIC5000_0049,kimaenoyoisonoshikaiwaoyosonijuuokuenojizenjigyoonikifushita,kimaenoyoisonoshikaiwaoyosookuenojizenjigyoonikifushita,kimaenoyoisonoshikaihaoyosookuenojizenjigyoonikifushita,kimaenoyoisonoshikaiwaoyosookuenojizenjigyoonikifushita
BASIC5000_0050,kiniiroogairumaigakimiwaikanebanaranai,kinihairoogairumaigakimiwaikanebanaranai,kiniiroogairumaigakimihaikanebanaranai,kinihairoogairumaigakimiwaikanebanaranai
BASIC5000_0051,minisukaatogamooichidofukkatsusurutoomoimasuka,minisukaatogamooichidofukkatsusurutoomoimasuka,minisukaatogamoosurutoimasuka,minisukaatogamooichidofukkatsusurutoomoimasuka
BASIC5000_0052,keekakuotaterukototosoreojikkoosurukotowabetsumondaidesu,keekakuotaterukototosoreojikkoosurukotowabetsumondaidesu,oterukototosoreosurukotohadesu,keekakuotaterukototosoreojikkoosurukotowabetsumondaidesu
BASIC5000_0053,mideeamureanishitepotetoohitotsutsuketekudasai,mideeamureanishitepotetootsutsuketekudasai,mideeamureanishitepotetootsutsuketekudasai,mideeamureanishitepotetootsutsuketekudasai
BASIC5000_0054,genkootokopiiwayooinimiwakegatsuku,genkootokopiiwayooinimiwakegatsuku,genkootokopiihayooinimiwakegatsuku,genkootokopiiwayooinimiwakegatsuku
BASIC5000_0055,mitsubachiwanioinosanpuruosunimochikaerukotoniyotteshokuryoonoarikaotsutaeru,mitsubachiwanioinosanpuruosunimochikaerukotoniyotteshokuryoonoarikaotsutaeru,mitsubachihanioinosanpuruosunimochikaerukotoniyotteshokuryoonoarikaotsutaeru,mitsubachiwanioinosanpuruosunimochikaerukotoniyotteshokuryoonoarikaotsutaeru
BASIC5000_0056,mikkuwasonokodomoorichaadotonazuketa,mikkuwasonokodomoorichaadotonazuketa,mikkuhasonokodomoorichaadotonazuketa,mikkuwasonokodomoorichaadotonazuketa
BASIC5000_0057,mimizuofumutoamegafurutoyuuhitogairu,mimizuofumutoamegafurutoiuhitogairu,mimizuofumutoamegafurutoiuhitogairu,mimizuofumutoamegafurutoiuhitogairu
BASIC5000_0058,yoshiowaseekakuwahahaoyaniyooboowachichioyaniniteeru,yoshiowaseekakuwahahaoyaniyooboowachichioyaniniteeru,yoshiohaseekakuhahahaoyaniyooboohachichooyaniniteeru,yoshiowaseekakuwahahaoyaniyooboowachichioyaniniteeru
BASIC5000_0059,meewakuookakeshitemooshiwakearimasen,meewakuookakeshitemooshiwakearimasen,meewakuookakeshitemooshiwakearimasen,meewakuookakeshitemooshiwakearimasen
BASIC5000_0060,mironobiinasugakanzendeattatokiniwazooniwaudemotsuiteeta,mironobiinasugakanzendeattatokiniwazooniwaudemotsuiteeta,mironobiinasugakanzendeattatokinihazoonihaudemotsuiteeta,mironobiinasugakanzendeattatokiniwazooniwaudemotsuiteeta
BASIC5000_0061,mirutonnosakuhinoyondakotogaarimasuka,mirutonnosakuhinoyondakotogaarimasuka,mirutonnoondakotogaarimasuka,mirutonnosakuhinoyondakotogaarimasuka
BASIC5000_0062,miraasenseewaanatanishibarakumattemoraitaitoomotteemasu,miraasenseewaanatanishibarakumattemoraitaitoomotteemasu,miraahaanatanishibarakuttemoraitaitotteemasu,miraasenseewaanatanishibarakumattemoraitaitoomotteemasu
BASIC5000_0063,myuujikaruwaminakattanodesuka,myuujikaruwaminakattanodesuka,myuujikaruhanakattanodesuka,myuujikaruwaminakattanodesuka
BASIC5000_0064,kusabananitsuitemottoshiritaitoomoimashita,kusabananitsuitemottoshiritaitoomoimashita,nitsuitemottoritaitoimashita,kusabananitsuitemottoshiritaitoomoimashita
BASIC5000_0065,hyootankarakomatteyuunokanachijinnoshookaideshuushokukimacchattandayo,hyootankarakomatteeunokanajijinnoshookaideshuushokukimacchattandayo,hyootankarakomatteeunokanajijinnoshookaideshuushokukimacchattandayo,hyootankarakomatteeunokanajijinnoshookaideshuushokukimacchattandayo
BASIC5000_0066,dorodarakenoashideimaodotadotaaruitewaikenai,dorodarakenoashideemaodotadotaaruitewaikenai,dorodarakenoashideemaodotadotaaruitehaikenai,dorodarakenoashideemaodotadotaaruitewaikenai
BASIC5000_0067,miiteengunianaoaketeshimattakotonitaishisaidoowabishimasu,miiteengunianaoaketeshimattakotonitaishisaidoowabishimasu,miiteengunioaketeshimattakotonishiobishimasu,miiteengunianaoaketeshimattakotonitaishisaidoowabishimasu
BASIC5000_0068,hinatanisuwatteerunoniwatashiwamadasamukegashita,hinatanisuwatteerunoniwatakushiwamadasamukegashita,hinatanisuwatteerunoniwatashihamadasamukegashita,hinatanisuwatteerunoniwatakushiwamadasamukegashita
BASIC5000_0069,minwasakuyatomodachinidenwaokakemashita,minwasakuyatomodachinidenwaokakemashita,minhasakuyatomodachinidenwaokakemashita,minwasakuyatomodachinidenwaokakemashita
