clip,ref_text,reference,kanji,kana,hybrid,mecab_only
common_voice_ja_41788246.mp3,私はその人の記憶を呼び起すごとに、すぐ「先生」といいたくなる。,watakushiwasonohitonokiokuoyobiokosugotoni、sugu「sensei」toiitakunaru。,watakushiwasonohitonokiokuoyobiokosugotonisugusenseitoitakunaru,watashihasonohitonokiokuwoyobiokosugotonisugusenseitoitakunaru,watakushiwasonohitonokiokuoyobiokosugotonisugusenseitoitakunaru,watakushiwasonohitonokiokuoyobiokosugotonisugusenseitoitakunaru
common_voice_ja_39038752.mp3,忘れてしまった記憶は、どこに行くのだろうか,wasureteshimattakiokuwa、dokoniikunodarouka,20byoukannoteiji,20秒間no定時,20byoukannoteiji,20byoukannoteiji
common_voice_ja_41143600.mp3,元気の出る曲をかけて,genkinoderukyokuokakete,genkinnoderukyokuokakete,genkinnoderukyokuwokakete,genkinnoderukyokuokakete,genkinnoderukyokuokakete
common_voice_ja_44940582.mp3,国の滅亡を嘆くことのたとえ。,kuninometsubouonagekukotonotatoe。,kuninometsubouwanaikotonotatoe,kuninometsubouhanaikotonotatoe,kuninometsubouwanaikotonotatoe,kuninometsubouwanaikotonotatoe
common_voice_ja_41759859.mp3,青春時代、清掃員が清掃して清々しい,seishunjidai、seisouingaseisoushitesugasugashii,seishunjidaiseisouingaseisoushitesugasugashii,seishunjidaiseisouhingaseisoushitesugasugashii,seishunjidaiseisouingaseisoushitesugasugashii,seishunjidaiseisouingaseisoushitesugasugashii
common_voice_ja_21409740.mp3,祖母は、おおむね機嫌よく、サイコロをころがしている。,sobowa、oomunekigenyoku、saikorookorogashiteiru。,sobowaomonikigenyokusaikorokorogashiteiru,sobohaomunikigenyokusaikorokorogashiteiru,sobowaomonikigenyokusaikorokorogashiteiru,sobowaomonikigenyokusaikorokorogashiteiru
common_voice_ja_38927920.mp3,イワンがこう言うとまた麦の束になりました。そこで小悪魔はたのみ出しました。「どうぞ、はなして下さいよ。」,iwangakouyuutomatamuginotabaninarimashita。sokodeshouakumawatanomidashimashita。「douzo、hanashitekudasaiyo。」,iwangakouyuutomatamuginotabaninarimashitasokodeshouakumawatanomidashimashitadouzohanashitekudasaiyo,iwangakouiutomatamuginotabaninarimashitasokodekoakumahatanomidashimashitadouzohanashitekudasaiyo,iwangakouyuutomatamuginotabaninarimashitasokodeshouakumawatanomidashimashitadouzohanashitekudasaiyo,iwangakouyuutomatamuginotabaninarimashitasokodeshouakumawatanomidashimashitadouzohanashitekudasaiyo
common_voice_ja_38852485.mp3,すると、ブランコ乗りは突然泣き始めた。すっかり驚いた興行主は飛び上がり、いったいどうしたのか、とたずねた。,suruto、burankonoriwatotsuzennakihajimeta。sukkariodoroitakougyoushuwatobiagari、ittaidoushitanoka、totazuneta。,suruto、burankonoriwatotsuzennakihajimeta。sukkariodoroitakougyoushuwatobiagari、ittaidoushitanokatotazuneta。,surutoburankonorihatotsudennakihajimetasukkariodoroitakougyounushihatobiagariittaidoushitanokatotazuneta,suruto、burankonoriwatotsuzennakihajimeta。sukkariodoroitakougyoushuwatobiagari、ittaidoushitanokatotazuneta。,suruto、burankonoriwatotsuzennakihajimeta。sukkariodoroitakougyoushuwatobiagari、ittaidoushitanokatotazuneta。
common_voice_ja_45175655.mp3,日本語は美しいです。,nippongowautsukushiidesu。,nippongowautsukushiidesu。,日本語hautsukushiidesu,nippongowautsukushiidesu。,nippongowautsukushiidesu。
common_voice_ja_41758685.mp3,札幌スクーリングへ行く,sapporosuku-ringueiku,sapporosuku-ringueiku,sapporosuku-ringuheiku,sapporosuku-ringueiku,sapporosuku-ringueiku
